,Week,Interest,Country,Crypto
0,2020-10-04,7,Brasil,Bitcoin
1,2020-10-11,9,Brasil,Bitcoin
2,2020-10-18,13,Brasil,Bitcoin
3,2020-10-25,12,Brasil,Bitcoin
4,2020-11-01,14,Brasil,Bitcoin
5,2020-11-08,14,Brasil,Bitcoin
6,2020-11-15,18,Brasil,Bitcoin
7,2020-11-22,22,Brasil,Bitcoin
8,2020-11-29,17,Brasil,Bitcoin
9,2020-12-06,15,Brasil,Bitcoin
10,2020-12-13,20,Brasil,Bitcoin
11,2020-12-20,22,Brasil,Bitcoin
12,2020-12-27,37,Brasil,Bitcoin
13,2021-01-03,58,Brasil,Bitcoin
14,2021-01-10,55,Brasil,Bitcoin
15,2021-01-17,34,Brasil,Bitcoin
16,2021-01-24,33,Brasil,Bitcoin
17,2021-01-31,30,Brasil,Bitcoin
18,2021-02-07,48,Brasil,Bitcoin
19,2021-02-14,49,Brasil,Bitcoin
20,2021-02-21,50,Brasil,Bitcoin
21,2021-02-28,37,Brasil,Bitcoin
22,2021-03-07,45,Brasil,Bitcoin
23,2021-03-14,38,Brasil,Bitcoin
24,2021-03-21,36,Brasil,Bitcoin
25,2021-03-28,35,Brasil,Bitcoin
26,2021-04-04,35,Brasil,Bitcoin
27,2021-04-11,46,Brasil,Bitcoin
28,2021-04-18,56,Brasil,Bitcoin
29,2021-04-25,45,Brasil,Bitcoin
30,2021-05-02,36,Brasil,Bitcoin
31,2021-05-09,46,Brasil,Bitcoin
32,2021-05-16,68,Brasil,Bitcoin
33,2021-05-23,55,Brasil,Bitcoin
34,2021-05-30,42,Brasil,Bitcoin
35,2021-06-06,42,Brasil,Bitcoin
36,2021-06-13,39,Brasil,Bitcoin
37,2021-06-20,47,Brasil,Bitcoin
38,2021-06-27,33,Brasil,Bitcoin
39,2021-07-04,31,Brasil,Bitcoin
40,2021-07-11,29,Brasil,Bitcoin
41,2021-07-18,33,Brasil,Bitcoin
42,2021-07-25,40,Brasil,Bitcoin
43,2021-08-01,35,Brasil,Bitcoin
44,2021-08-08,42,Brasil,Bitcoin
45,2021-08-15,36,Brasil,Bitcoin
46,2021-08-22,36,Brasil,Bitcoin
47,2021-08-29,31,Brasil,Bitcoin
48,2021-09-05,34,Brasil,Bitcoin
49,2021-09-12,27,Brasil,Bitcoin
50,2021-09-19,31,Brasil,Bitcoin
51,2021-09-26,26,Brasil,Bitcoin
