Categoría: Todas las categorías

Semana,Bitcoin: (China)
2020-10-04,14
2020-10-11,12
2020-10-18,17
2020-10-25,15
2020-11-01,17
2020-11-08,24
2020-11-15,25
2020-11-22,28
2020-11-29,26
2020-12-06,22
2020-12-13,34
2020-12-20,31
2020-12-27,52
2021-01-03,76
2021-01-10,63
2021-01-17,38
2021-01-24,39
2021-01-31,34
2021-02-07,72
2021-02-14,80
2021-02-21,94
2021-02-28,57
2021-03-07,54
2021-03-14,47
2021-03-21,38
2021-03-28,29
2021-04-04,32
2021-04-11,37
2021-04-18,60
2021-04-25,37
2021-05-02,40
2021-05-09,46
2021-05-16,100
2021-05-23,66
2021-05-30,38
2021-06-06,43
2021-06-13,34
2021-06-20,46
2021-06-27,28
2021-07-04,23
2021-07-11,23
2021-07-18,25
2021-07-25,26
2021-08-01,20
2021-08-08,23
2021-08-15,23
2021-08-22,23
2021-08-29,22
2021-09-05,25
2021-09-12,17
2021-09-19,25
2021-09-26,26
2021-10-03,29
2021-10-10,31
2021-10-17,34
2021-10-24,28
2021-10-31,21
2021-11-07,25
2021-11-14,27
2021-11-21,26
2021-11-28,31
2021-12-05,30
2021-12-12,27
2021-12-19,19
2021-12-26,23
2022-01-02,27
2022-01-09,29
2022-01-16,30
2022-01-23,38
2022-01-30,34
2022-02-06,25
2022-02-13,25
2022-02-20,33
2022-02-27,27
2022-03-06,26
2022-03-13,23
2022-03-20,20
2022-03-27,23
2022-04-03,23
2022-04-10,21
2022-04-17,20
2022-04-24,21
2022-05-01,24
2022-05-08,53
2022-05-15,36
2022-05-22,24
2022-05-29,23
2022-06-05,20
2022-06-12,57
2022-06-19,54
2022-06-26,30
2022-07-03,33
2022-07-10,25
2022-07-17,26
2022-07-24,21
2022-07-31,16
2022-08-07,16
2022-08-14,17
2022-08-21,19
2022-08-28,19
2022-09-04,19
2022-09-11,21
2022-09-18,22
2022-09-25,19
2022-10-02,22
2022-10-09,15
2022-10-16,16
2022-10-23,17
2022-10-30,17
2022-11-06,33
2022-11-13,24
2022-11-20,20
2022-11-27,17
2022-12-04,13
2022-12-11,14
2022-12-18,16
2022-12-25,13
2023-01-01,16
2023-01-08,15
2023-01-15,22
2023-01-22,24
2023-01-29,18
2023-02-05,16
2023-02-12,15
2023-02-19,14
2023-02-26,13
2023-03-05,18
2023-03-12,25
2023-03-19,21
2023-03-26,16
2023-04-02,17
2023-04-09,20
2023-04-16,17
2023-04-23,16
2023-04-30,20
2023-05-07,22
2023-05-14,16
2023-05-21,16
2023-05-28,15
2023-06-04,17
2023-06-11,15
2023-06-18,19
2023-06-25,18
2023-07-02,18
2023-07-09,14
2023-07-16,12
2023-07-23,12
2023-07-30,13
2023-08-06,12
2023-08-13,16
2023-08-20,15
2023-08-27,15
2023-09-03,13
2023-09-10,13
2023-09-17,15
2023-09-24,11
2023-10-01,17
2023-10-08,12
2023-10-15,17
2023-10-22,25
2023-10-29,19
2023-11-05,21
2023-11-12,22
2023-11-19,21
2023-11-26,20
2023-12-03,31
2023-12-10,28
2023-12-17,27
2023-12-24,25
2023-12-31,30
2024-01-07,46
2024-01-14,28
2024-01-21,25
2024-01-28,20
2024-02-04,23
2024-02-11,40
2024-02-18,27
2024-02-25,53
2024-03-03,59
2024-03-10,53
2024-03-17,43
2024-03-24,37
2024-03-31,37
2024-04-07,40
2024-04-14,55
2024-04-21,32
2024-04-28,38
2024-05-05,27
2024-05-12,26
2024-05-19,29
2024-05-26,26
2024-06-02,26
2024-06-09,26
2024-06-16,21
2024-06-23,23
2024-06-30,30
2024-07-07,28
2024-07-14,29
2024-07-21,27
2024-07-28,29
2024-08-04,38
2024-08-11,24
2024-08-18,24
2024-08-25,25
2024-09-01,26
2024-09-08,20
2024-09-15,29
2024-09-22,23
2024-09-29,28
2024-10-06,21
2024-10-13,23
2024-10-20,20
2024-10-27,28
2024-11-03,46
2024-11-10,76
2024-11-17,60
2024-11-24,52
2024-12-01,56
2024-12-08,47
2024-12-15,42
2024-12-22,36
2024-12-29,33
2025-01-05,32
2025-01-12,34
2025-01-19,41
2025-01-26,36
2025-02-02,39
2025-02-09,23
2025-02-16,23
2025-02-23,37
2025-03-02,39
2025-03-09,32
2025-03-16,22
2025-03-23,21
2025-03-30,24
2025-04-06,32
2025-04-13,20
2025-04-20,26
2025-04-27,21
2025-05-04,29
2025-05-11,26
2025-05-18,32
2025-05-25,24
2025-06-01,22
2025-06-08,23
2025-06-15,22
2025-06-22,23
2025-06-29,19
2025-07-06,27
2025-07-13,32
2025-07-20,23
2025-07-27,21
2025-08-03,19
2025-08-10,24
2025-08-17,21
2025-08-24,24
2025-08-31,19
2025-09-07,18
2025-09-14,20
2025-09-21,21
2025-09-28,24
2025-10-05,26
