Categoría: Todas las categorías

Semana,Cardano: (Brasil)
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,1
2020-11-01,2
2020-11-08,2
2020-11-15,2
2020-11-22,5
2020-11-29,3
2020-12-06,3
2020-12-13,3
2020-12-20,3
2020-12-27,5
2021-01-03,13
2021-01-10,9
2021-01-17,11
2021-01-24,8
2021-01-31,18
2021-02-07,37
2021-02-14,28
2021-02-21,41
2021-02-28,37
2021-03-07,29
2021-03-14,41
2021-03-21,27
2021-03-28,25
2021-04-04,27
2021-04-11,47
2021-04-18,36
2021-04-25,27
2021-05-02,46
2021-05-09,71
2021-05-16,78
2021-05-23,47
2021-05-30,43
2021-06-06,34
2021-06-13,27
2021-06-20,27
2021-06-27,22
2021-07-04,25
2021-07-11,21
2021-07-18,21
2021-07-25,23
2021-08-01,26
2021-08-08,64
2021-08-15,76
2021-08-22,100
2021-08-29,85
2021-09-05,79
2021-09-12,76
2021-09-19,47
2021-09-26,37
2021-10-03,44
2021-10-10,44
2021-10-17,42
2021-10-24,41
2021-10-31,42
2021-11-07,44
2021-11-14,37
2021-11-21,43
2021-11-28,39
2021-12-05,38
2021-12-12,32
2021-12-19,35
2021-12-26,31
2022-01-02,35
2022-01-09,35
2022-01-16,60
2022-01-23,36
2022-01-30,31
2022-02-06,27
2022-02-13,23
2022-02-20,30
2022-02-27,25
2022-03-06,19
2022-03-13,17
2022-03-20,31
2022-03-27,29
2022-04-03,19
2022-04-10,18
2022-04-17,18
2022-04-24,14
2022-05-01,16
2022-05-08,26
2022-05-15,19
2022-05-22,16
2022-05-29,22
2022-06-05,21
2022-06-12,24
2022-06-19,17
2022-06-26,14
2022-07-03,13
2022-07-10,11
2022-07-17,16
2022-07-24,15
2022-07-31,13
2022-08-07,12
2022-08-14,13
2022-08-21,12
2022-08-28,11
2022-09-04,12
2022-09-11,12
2022-09-18,15
2022-09-25,10
2022-10-02,9
2022-10-09,10
2022-10-16,12
2022-10-23,11
2022-10-30,22
2022-11-06,13
2022-11-13,11
2022-11-20,9
2022-11-27,8
2022-12-04,8
2022-12-11,9
2022-12-18,10
2022-12-25,9
2023-01-01,10
2023-01-08,14
2023-01-15,14
2023-01-22,15
2023-01-29,16
2023-02-05,14
2023-02-12,14
2023-02-19,14
2023-02-26,10
2023-03-05,11
2023-03-12,13
2023-03-19,13
2023-03-26,14
2023-04-02,11
2023-04-09,14
2023-04-16,13
2023-04-23,11
2023-04-30,11
2023-05-07,8
2023-05-14,7
2023-05-21,7
2023-05-28,8
2023-06-04,9
2023-06-11,11
2023-06-18,11
2023-06-25,10
2023-07-02,8
2023-07-09,10
2023-07-16,9
2023-07-23,7
2023-07-30,8
2023-08-06,8
2023-08-13,8
2023-08-20,6
2023-08-27,7
2023-09-03,7
2023-09-10,6
2023-09-17,6
2023-09-24,5
2023-10-01,7
2023-10-08,5
2023-10-15,6
2023-10-22,10
2023-10-29,11
2023-11-05,12
2023-11-12,12
2023-11-19,10
2023-11-26,8
2023-12-03,20
2023-12-10,25
2023-12-17,19
2023-12-24,19
2023-12-31,15
2024-01-07,15
2024-01-14,12
2024-01-21,8
2024-01-28,9
2024-02-04,10
2024-02-11,16
2024-02-18,15
2024-02-25,20
2024-03-03,25
2024-03-10,19
2024-03-17,15
2024-03-24,13
2024-03-31,12
2024-04-07,12
2024-04-14,14
2024-04-21,11
2024-04-28,10
2024-05-05,9
2024-05-12,9
2024-05-19,11
2024-05-26,8
2024-06-02,11
2024-06-09,9
2024-06-16,8
2024-06-23,9
2024-06-30,8
2024-07-07,9
2024-07-14,10
2024-07-21,10
2024-07-28,10
2024-08-04,10
2024-08-11,7
2024-08-18,10
2024-08-25,8
2024-09-01,7
2024-09-08,8
2024-09-15,8
2024-09-22,10
2024-09-29,6
2024-10-06,7
2024-10-13,8
2024-10-20,7
2024-10-27,10
2024-11-03,12
2024-11-10,32
2024-11-17,37
2024-11-24,33
2024-12-01,42
2024-12-08,28
2024-12-15,28
2024-12-22,19
2024-12-29,13
2025-01-05,10
2025-01-12,11
2025-01-19,11
2025-01-26,8
2025-02-02,9
2025-02-09,7
2025-02-16,5
2025-02-23,5
2025-03-02,17
2025-03-09,7
2025-03-16,4
2025-03-23,5
2025-03-30,5
2025-04-06,5
2025-04-13,4
2025-04-20,5
2025-04-27,5
2025-05-04,6
2025-05-11,7
2025-05-18,7
2025-05-25,6
2025-06-01,5
2025-06-08,5
2025-06-15,5
2025-06-22,5
2025-06-29,5
2025-07-06,6
2025-07-13,10
2025-07-20,9
2025-07-27,7
2025-08-03,7
2025-08-10,11
2025-08-17,7
2025-08-24,7
2025-08-31,6
2025-09-07,7
2025-09-14,7
2025-09-21,6
2025-09-28,6
2025-10-05,6
