Categoría: Todas las categorías

Semana,Cardano: (Corea del Sur)
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,25
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,33
2020-12-20,0
2020-12-27,0
2021-01-03,25
2021-01-10,33
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,88
2021-02-14,35
2021-02-21,65
2021-02-28,70
2021-03-07,49
2021-03-14,62
2021-03-21,24
2021-03-28,42
2021-04-04,0
2021-04-11,34
2021-04-18,55
2021-04-25,60
2021-05-02,57
2021-05-09,68
2021-05-16,100
2021-05-23,60
2021-05-30,49
2021-06-06,37
2021-06-13,24
2021-06-20,41
2021-06-27,24
2021-07-04,0
2021-07-11,29
2021-07-18,0
2021-07-25,0
2021-08-01,26
2021-08-08,54
2021-08-15,39
2021-08-22,70
2021-08-29,76
2021-09-05,71
2021-09-12,81
2021-09-19,87
2021-09-26,61
2021-10-03,38
2021-10-10,53
2021-10-17,51
2021-10-24,43
2021-10-31,52
2021-11-07,38
2021-11-14,25
2021-11-21,53
2021-11-28,31
2021-12-05,41
2021-12-12,36
2021-12-19,0
2021-12-26,0
2022-01-02,51
2022-01-09,40
2022-01-16,69
2022-01-23,39
2022-01-30,0
2022-02-06,42
2022-02-13,48
2022-02-20,42
2022-02-27,25
2022-03-06,0
2022-03-13,0
2022-03-20,40
2022-03-27,26
2022-04-03,37
2022-04-10,23
2022-04-17,31
2022-04-24,20
2022-05-01,36
2022-05-08,20
2022-05-15,24
2022-05-22,24
2022-05-29,30
2022-06-05,26
2022-06-12,24
2022-06-19,0
2022-06-26,31
2022-07-03,0
2022-07-10,0
2022-07-17,22
2022-07-24,0
2022-07-31,28
2022-08-07,0
2022-08-14,0
2022-08-21,27
2022-08-28,29
2022-09-04,0
2022-09-11,0
2022-09-18,45
2022-09-25,32
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,21
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,21
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,34
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,20
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,33
2023-05-21,25
2023-05-28,24
2023-06-04,37
2023-06-11,33
2023-06-18,41
2023-06-25,27
2023-07-02,35
2023-07-09,38
2023-07-16,42
2023-07-23,31
2023-07-30,22
2023-08-06,21
2023-08-13,22
2023-08-20,30
2023-08-27,24
2023-09-03,30
2023-09-10,32
2023-09-17,19
2023-09-24,38
2023-10-01,20
2023-10-08,32
2023-10-15,35
2023-10-22,30
2023-10-29,27
2023-11-05,44
2023-11-12,40
2023-11-19,28
2023-11-26,21
2023-12-03,40
2023-12-10,40
2023-12-17,41
2023-12-24,52
2023-12-31,40
2024-01-07,0
2024-01-14,44
2024-01-21,32
2024-01-28,32
2024-02-04,42
2024-02-11,28
2024-02-18,39
2024-02-25,49
2024-03-03,28
2024-03-10,23
2024-03-17,26
2024-03-24,32
2024-03-31,32
2024-04-07,32
2024-04-14,26
2024-04-21,26
2024-04-28,29
2024-05-05,24
2024-05-12,40
2024-05-19,30
2024-05-26,28
2024-06-02,32
2024-06-09,38
2024-06-16,32
2024-06-23,29
2024-06-30,0
2024-07-07,25
2024-07-14,38
2024-07-21,46
2024-07-28,0
2024-08-04,24
2024-08-11,18
2024-08-18,21
2024-08-25,24
2024-09-01,31
2024-09-08,0
2024-09-15,24
2024-09-22,18
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,20
2024-10-27,29
2024-11-03,24
2024-11-10,45
2024-11-17,32
2024-11-24,44
2024-12-01,54
2024-12-08,30
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,22
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,19
2025-02-23,0
2025-03-02,69
2025-03-09,22
2025-03-16,0
2025-03-23,23
2025-03-30,21
2025-04-06,25
2025-04-13,34
2025-04-20,36
2025-04-27,35
2025-05-04,41
2025-05-11,36
2025-05-18,20
2025-05-25,43
2025-06-01,38
2025-06-08,38
2025-06-15,35
2025-06-22,32
2025-06-29,24
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,22
2025-08-17,0
2025-08-24,0
2025-08-31,34
2025-09-07,0
2025-09-14,0
2025-09-21,2
2025-09-28,8
2025-10-05,7
