Categoría: Todas las categorías

Semana,Cardano: (México)
2020-10-04,7
2020-10-11,4
2020-10-18,6
2020-10-25,0
2020-11-01,5
2020-11-08,0
2020-11-15,8
2020-11-22,6
2020-11-29,7
2020-12-06,4
2020-12-13,0
2020-12-20,0
2020-12-27,10
2021-01-03,19
2021-01-10,13
2021-01-17,17
2021-01-24,13
2021-01-31,24
2021-02-07,47
2021-02-14,56
2021-02-21,84
2021-02-28,78
2021-03-07,52
2021-03-14,62
2021-03-21,46
2021-03-28,45
2021-04-04,33
2021-04-11,35
2021-04-18,32
2021-04-25,36
2021-05-02,49
2021-05-09,82
2021-05-16,71
2021-05-23,48
2021-05-30,39
2021-06-06,28
2021-06-13,22
2021-06-20,25
2021-06-27,22
2021-07-04,21
2021-07-11,21
2021-07-18,24
2021-07-25,21
2021-08-01,26
2021-08-08,59
2021-08-15,64
2021-08-22,100
2021-08-29,70
2021-09-05,68
2021-09-12,66
2021-09-19,47
2021-09-26,32
2021-10-03,31
2021-10-10,35
2021-10-17,30
2021-10-24,37
2021-10-31,37
2021-11-07,35
2021-11-14,32
2021-11-21,39
2021-11-28,40
2021-12-05,31
2021-12-12,32
2021-12-19,40
2021-12-26,47
2022-01-02,44
2022-01-09,36
2022-01-16,69
2022-01-23,50
2022-01-30,42
2022-02-06,45
2022-02-13,36
2022-02-20,34
2022-02-27,41
2022-03-06,51
2022-03-13,39
2022-03-20,70
2022-03-27,47
2022-04-03,33
2022-04-10,33
2022-04-17,29
2022-04-24,26
2022-05-01,27
2022-05-08,40
2022-05-15,25
2022-05-22,24
2022-05-29,30
2022-06-05,26
2022-06-12,36
2022-06-19,28
2022-06-26,17
2022-07-03,15
2022-07-10,17
2022-07-17,19
2022-07-24,18
2022-07-31,20
2022-08-07,20
2022-08-14,18
2022-08-21,19
2022-08-28,17
2022-09-04,23
2022-09-11,18
2022-09-18,24
2022-09-25,17
2022-10-02,14
2022-10-09,13
2022-10-16,15
2022-10-23,17
2022-10-30,14
2022-11-06,17
2022-11-13,17
2022-11-20,12
2022-11-27,8
2022-12-04,13
2022-12-11,13
2022-12-18,13
2022-12-25,9
2023-01-01,9
2023-01-08,17
2023-01-15,16
2023-01-22,20
2023-01-29,17
2023-02-05,14
2023-02-12,19
2023-02-19,13
2023-02-26,11
2023-03-05,14
2023-03-12,12
2023-03-19,14
2023-03-26,12
2023-04-02,10
2023-04-09,19
2023-04-16,16
2023-04-23,10
2023-04-30,11
2023-05-07,13
2023-05-14,9
2023-05-21,8
2023-05-28,11
2023-06-04,12
2023-06-11,14
2023-06-18,11
2023-06-25,13
2023-07-02,12
2023-07-09,7
2023-07-16,15
2023-07-23,10
2023-07-30,10
2023-08-06,11
2023-08-13,9
2023-08-20,11
2023-08-27,10
2023-09-03,12
2023-09-10,11
2023-09-17,14
2023-09-24,12
2023-10-01,10
2023-10-08,12
2023-10-15,8
2023-10-22,10
2023-10-29,14
2023-11-05,17
2023-11-12,14
2023-11-19,16
2023-11-26,15
2023-12-03,31
2023-12-10,33
2023-12-17,25
2023-12-24,25
2023-12-31,23
2024-01-07,22
2024-01-14,13
2024-01-21,11
2024-01-28,14
2024-02-04,14
2024-02-11,24
2024-02-18,20
2024-02-25,22
2024-03-03,25
2024-03-10,20
2024-03-17,22
2024-03-24,19
2024-03-31,16
2024-04-07,14
2024-04-14,17
2024-04-21,12
2024-04-28,10
2024-05-05,12
2024-05-12,6
2024-05-19,13
2024-05-26,9
2024-06-02,8
2024-06-09,14
2024-06-16,9
2024-06-23,9
2024-06-30,12
2024-07-07,7
2024-07-14,13
2024-07-21,12
2024-07-28,9
2024-08-04,11
2024-08-11,13
2024-08-18,12
2024-08-25,17
2024-09-01,15
2024-09-08,14
2024-09-15,12
2024-09-22,10
2024-09-29,10
2024-10-06,5
2024-10-13,9
2024-10-20,10
2024-10-27,13
2024-11-03,15
2024-11-10,35
2024-11-17,44
2024-11-24,31
2024-12-01,35
2024-12-08,31
2024-12-15,26
2024-12-22,23
2024-12-29,23
2025-01-05,22
2025-01-12,21
2025-01-19,27
2025-01-26,18
2025-02-02,15
2025-02-09,15
2025-02-16,12
2025-02-23,14
2025-03-02,29
2025-03-09,16
2025-03-16,10
2025-03-23,10
2025-03-30,12
2025-04-06,12
2025-04-13,9
2025-04-20,13
2025-04-27,8
2025-05-04,10
2025-05-11,15
2025-05-18,13
2025-05-25,13
2025-06-01,12
2025-06-08,10
2025-06-15,11
2025-06-22,9
2025-06-29,10
2025-07-06,9
2025-07-13,16
2025-07-20,19
2025-07-27,13
2025-08-03,16
2025-08-10,18
2025-08-17,17
2025-08-24,14
2025-08-31,12
2025-09-07,13
2025-09-14,15
2025-09-21,14
2025-09-28,12
2025-10-05,10
