Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Albania,ALB,"Population, total",SP.POP.TOTL,2837849,2811666,2777689,2745972,2714617
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761,49225,48342,47521,46765
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,14489.2586563775,15236.1604875571,18017.4589383973,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,77380,78364,79705,80856,81938
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309,49303.6733899464
Angola,AGO,"Population, total",SP.POP.TOTL,33451132,34532429,35635029,36749906,37885849
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1449.92286669308,1925.87466082167,2929.69445467272,2309.53413042773,2122.08368991872
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23725.7903725506
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,8500.60522486719
Aruba,ABW,"Population, total",SP.POP.TOTL,108587,107700,107310,107359,107624
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,22855.9323200761,27200.0610793969,30559.5335346581,33984.7906198041,..
Australia,AUS,"Population, total",SP.POP.TOTL,25649248,25685412,26014399,26652777,27204809
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,64407.484256932
Austria,AUT,"Population, total",SP.POP.TOTL,8916864,8955797,9041851,9131761,9178482
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48716.4098900349,53648.7190742245,52176.6649141178,56033.573792065,56833.1960472053
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121,10137750,10141756,10153958,10202850
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.83562954872
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863,396373,397538,399440,401283
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204,1504365,1524693,1577059,1588670
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,30048.2177718844
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024,167658854,169384897,171466990,173562364
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41607390407
Barbados,BRB,"Population, total",SP.POP.TOTL,281698,282147,282318,282336,282467
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18347.1109131055,18696.7858952957,22164.0260273876,23804.0249914995,25365.7949424181
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952,9302585,9228071,9178298,9133712
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8316.64776291533
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604,11586195,11680210,11787423,11876844
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,45906.2875805246,51658.238294958,50822.2518538518,54690.0942734964,55954.6106261018
Belize,BLZ,"Population, total",SP.POP.TOTL,390812,395346,402733,411106,417072
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5227.19363786168,6122.61158580079,7068.45478269722,7459.99815132837,8429.67959707387
Benin,BEN,"Population, total",SP.POP.TOTL,13070169,13413417,13759501,14111034,14462724
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1200.19426631122,1318.65158107487,1266.42710981159,1394.17784663045,1485.38018980894
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382,64648,64749,64698,64636
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,106976.546239632,112765.08167306,121613.939983629,132604.439086216,138934.958846463
Bhutan,BTN,"Population, total",SP.POP.TOTL,770006,775442,780914,786385,791524
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3191.66906999331,3570.61257980872,3711.32767981591,3839.4093039286,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,11816299,11937360,12077154,12244159,12413315
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3099.94219053514,3384.84486462654,3643.92826984604,3686.27996442176,4001.21133990795
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3299349,3244907,3204802,3185073,3164253
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6130.31133245161,7295.3438240957,7655.59421024383,8663.02322987879,8957.37294188215
Botswana,BWA,"Population, total",SP.POP.TOTL,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6323.29749806946,7807.88794500125,8328.70905682185,7826.35376483298,7695.2420641819
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842,209550294,210306415,211140729,211998573
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10280.3148624429
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,37135,37809,38319,38985,39471
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,447404,451721,455370,458949,462721
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,26834.3592463839,31006.9636220576,36632.9280421411,32890.5492465722,33417.8357740437
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6550696,6507301,6465097,6446596,6444366
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10769.9475699414,12972.2173356002,13999.6719197289,15883.8618545581,17412.4115085691
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21478690,21995243,22509038,23025776,23548781
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,825.237038782475,895.535288442991,836.118304593682,882.689810086163,987.321378101867
Burundi,BDI,"Population, total",SP.POP.TOTL,12617036,12965481,13321097,13689450,14047786
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,210.008139902508,214.091455416133,250.634225368744,192.074305359351,153.930217854023
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,514679,516649,519741,522331,524877
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3539.22661248299,3971.44409203423,4323.31362032709,4861.29184126229,5272.85253011419
Cambodia,KHM,"Population, total",SP.POP.TOTL,16725474,16974305,17201724,17423880,17638801
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.8796974226
Cameroon,CMR,"Population, total",SP.POP.TOTL,26210558,26915758,27632771,28372687,29123744
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1555.60370660749,1672.32657340872,1604.87726954895,1736.86091073524,1762.3683508844
Canada,CAN,"Population, total",SP.POP.TOTL,38028638,38239864,38935934,40083484,41288599
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54282.6176051733
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68684,70108,71591,73038,74457
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,82338.7982853661,86438.445257404,92202.1478031576,97749.5078960846,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5026628,5112100,5098039,5152421,5330690
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.170424537757
Chad,TCD,"Population, total",SP.POP.TOTL,17224679,17828273,18455316,19319064,20299123
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,866.947814890409,946.358500208374,966.036468278568,989.058528968588,1016.08880662712
Channel Islands,CHI,"Population, total",SP.POP.TOTL,166235,166741,167215,167691,168126
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,56785.9402005039,66912.1753241171,67627.3084478235,74589.1381155014,..
Chile,CHL,"Population, total",SP.POP.TOTL,19370624,19456334,19553036,19658835,19764771
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,16709.8893972307
China,CHN,"Population, total",SP.POP.TOTL,1411100000,1412360000,1412175000,1410710000,1408975000
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
Colombia,COL,"Population, total",SP.POP.TOTL,50629997,51188173,51737944,52321152,52886363
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7913.98801464547
Comoros,COM,"Population, total",SP.POP.TOTL,802163,818174,834188,850387,866628
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1527.16990927956,1587.72988601478,1533.87755332151,1682.20285095721,1784.11546860293
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95989998,99148932,102396968,105789731,109276265
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,507.521230077872,558.034077296358,642.612267148918,633.395661686298,647.435704836002
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5752791,5892183,6035104,6182885,6332961
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1993.586671931,2516.16255145432,2620.83804304713,2477.97845477092,2482.24894743495
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5034320,5059988,5081765,5105525,5129910
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12394.0493969354,12838.1185359009,13625.9008491478,16942.0268119304,18587.1532203614
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28915449,29639736,30395002,31165654,31934230
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2179.72934832935,2455.98127626488,2333.37128334477,2554.67304885576,2709.89511641252
Croatia,HRV,"Population, total",SP.POP.TOTL,3914206,3878981,3855641,3859686,3866300
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14808.4620188819,17789.9304736722,18466.0955472648,21865.4562838641,23931.4528382746
Cuba,CUB,"Population, total",SP.POP.TOTL,11176354,11122168,11059820,11019931,10979783
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9605.26125067263,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,154947,152369,149996,155800,155900
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,16356.0933254541,17979.9982909306,20501.7522782219,21061.741639092,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,1302247,1317309,1331370,1344976,1358282
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,28649.015625,33734.03515625,33894.44921875,36551.41796875,38654.16796875
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858,10505772,10672118,10864042,10882164
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23472.8915454417,27696.4619527544,28282.2236715857,31591.0568216357,31706.6234229743
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404,5856733,5903037,5946952,5976992
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,60985.4885601514,69727.9873677012,68091.3191138669,68453.8769281145,71851.7562131368
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105188,1121248,1137096,1152944,1168722
